iter	Passed	Remaining
0	132	132769
1	133	66811
2	135	44928
3	136	33934
4	137	27328
5	138	22932
6	139	19776
7	140	17422
8	141	15616
9	142	14141
10	143	12924
11	144	11926
12	145	11077
13	146	10350
14	147	9716
15	148	9163
16	150	8676
17	151	8241
18	152	7850
19	153	7499
20	154	7184
21	155	6896
22	156	6632
23	157	6386
24	158	6164
25	159	5962
26	160	5774
27	161	5598
28	162	5431
29	163	5279
30	164	5135
31	165	5001
32	166	4875
33	167	4754
34	168	4639
35	169	4530
36	170	4432
37	171	4338
38	172	4247
39	173	4159
40	174	4076
41	175	3999
42	176	3926
43	177	3855
44	178	3789
45	179	3725
46	180	3661
47	181	3601
48	182	3543
49	183	3487
50	184	3432
51	185	3379
52	186	3330
53	187	3281
54	188	3235
55	189	3189
56	190	3144
57	191	3103
58	191	3061
59	192	3020
60	193	2981
61	194	2944
62	195	2908
63	196	2873
64	197	2838
65	198	2804
66	199	2771
67	199	2734
68	200	2704
69	201	2675
70	202	2646
71	203	2618
72	203	2590
73	204	2563
74	205	2537
75	206	2512
76	207	2487
77	208	2463
78	209	2440
79	210	2417
80	211	2394
81	211	2372
82	212	2351
83	213	2330
84	214	2306
85	215	2287
86	215	2264
87	216	2245
88	217	2226
89	218	2208
90	219	2189
91	220	2172
92	220	2154
93	221	2136
94	222	2120
95	223	2103
96	224	2087
97	225	2071
98	225	2056
99	226	2041
100	227	2026
101	228	2008
102	229	1995
103	229	1980
104	230	1966
105	231	1953
106	232	1939
107	233	1926
108	234	1913
109	234	1900
110	235	1888
111	236	1876
112	237	1864
113	238	1852
114	239	1840
115	239	1827
116	240	1816
117	241	1805
118	242	1793
119	243	1782
120	244	1772
121	244	1762
122	245	1749
123	246	1739
124	247	1730
125	248	1720
126	248	1711
127	249	1700
128	250	1691
129	251	1681
130	252	1672
131	253	1663
132	253	1654
133	254	1646
134	255	1638
135	256	1629
136	257	1621
137	258	1612
138	259	1604
139	259	1596
140	260	1588
141	261	1580
142	262	1572
143	263	1565
144	264	1557
145	264	1549
146	265	1542
147	266	1534
148	267	1527
149	268	1520
150	269	1513
151	270	1506
152	270	1499
153	271	1493
154	272	1486
155	273	1480
156	274	1474
157	275	1468
158	276	1461
159	277	1455
160	278	1449
161	279	1443
162	280	1437
163	281	1432
164	281	1426
165	282	1421
166	283	1416
167	284	1410
168	285	1405
169	286	1400
170	287	1395
171	288	1389
172	289	1384
173	290	1379
174	291	1374
175	292	1369
176	293	1363
177	294	1359
178	295	1354
179	296	1349
180	296	1342
181	297	1337
182	298	1333
183	299	1328
184	300	1324
185	301	1319
186	302	1315
187	303	1311
188	304	1306
189	305	1301
190	306	1297
191	307	1292
192	308	1288
193	309	1284
194	310	1279
195	310	1275
196	311	1271
197	312	1267
198	313	1263
199	314	1258
200	315	1254
201	316	1250
202	317	1246
203	318	1242
204	319	1238
205	320	1234
206	321	1230
207	322	1226
208	323	1222
209	324	1219
210	324	1215
211	325	1211
212	326	1207
213	327	1204
214	328	1200
215	329	1196
216	330	1193
217	331	1189
218	332	1185
219	333	1182
220	334	1178
221	335	1175
222	336	1171
223	337	1167
224	338	1164
225	338	1160
226	339	1157
227	340	1153
228	341	1150
229	342	1146
230	343	1143
231	344	1140
232	345	1137
233	346	1134
234	347	1130
235	348	1127
236	349	1123
237	350	1120
238	350	1117
239	351	1114
240	352	1111
241	353	1108
242	354	1105
243	355	1101
244	356	1098
245	357	1095
246	358	1092
247	359	1089
248	360	1086
249	361	1083
250	361	1079
251	362	1076
252	363	1073
253	364	1071
254	365	1068
255	366	1065
256	367	1062
257	368	1059
258	369	1056
259	370	1054
260	371	1051
261	372	1048
262	373	1045
263	374	1043
264	375	1040
265	376	1037
266	376	1034
267	377	1031
268	378	1029
269	379	1026
270	380	1023
271	381	1020
272	382	1018
273	383	1015
274	384	1012
275	387	1015
276	388	1013
277	389	1010
278	390	1007
279	390	1005
280	391	1002
281	392	999
282	393	997
283	394	994
284	395	991
285	396	989
286	397	986
287	398	984
288	399	981
289	400	979
290	401	978
291	402	975
292	403	973
293	404	971
294	405	968
295	406	966
296	407	963
297	408	961
298	409	958
299	409	956
300	410	953
301	411	951
302	412	949
303	413	946
304	414	944
305	415	942
306	416	940
307	417	937
308	418	935
309	419	933
310	420	931
311	421	928
312	422	926
313	422	924
314	423	921
315	424	919
316	425	917
317	426	915
318	427	912
319	428	910
320	429	908
321	430	906
322	431	903
323	432	901
324	433	899
325	434	897
326	434	895
327	435	893
328	436	890
329	437	888
330	438	886
331	439	884
332	440	882
333	441	880
334	442	878
335	443	876
336	444	874
337	445	872
338	446	871
339	447	869
340	448	867
341	449	865
342	450	863
343	451	861
344	452	859
345	453	857
346	454	855
347	455	853
348	456	851
349	457	849
350	458	847
351	459	845
352	459	843
353	460	841
354	461	839
355	462	837
356	463	834
357	464	832
358	465	831
359	466	829
360	467	827
361	468	825
362	469	823
363	470	821
364	470	819
365	471	817
366	472	815
367	473	813
368	474	811
369	475	809
370	476	807
371	477	806
372	478	804
373	479	802
374	480	800
375	481	799
376	482	797
377	483	795
378	484	793
379	485	791
380	486	789
381	487	787
382	488	786
383	489	784
384	490	782
385	491	781
386	491	779
387	492	777
388	493	775
389	494	774
390	495	772
391	496	770
392	497	768
393	498	767
394	499	765
395	500	763
396	501	762
397	502	760
398	503	758
399	504	757
400	505	755
401	506	753
402	507	751
403	508	750
404	509	748
405	510	746
406	511	744
407	512	742
408	512	741
409	513	739
410	514	737
411	515	736
412	516	734
413	517	733
414	519	731
415	519	729
416	520	728
417	521	726
418	522	724
419	523	723
420	524	721
421	525	720
422	526	718
423	527	716
424	528	714
425	529	712
426	530	711
427	531	709
428	531	707
429	532	706
430	533	704
431	534	702
432	535	700
433	536	699
434	536	697
435	537	695
436	538	693
437	539	692
438	540	690
439	541	688
440	541	686
441	542	685
442	543	683
443	544	681
444	545	680
445	546	678
446	547	676
447	548	675
448	548	673
449	550	672
450	550	670
451	551	669
452	552	667
453	553	665
454	554	664
455	555	662
456	556	661
457	557	659
458	558	657
459	558	656
460	559	654
461	560	653
462	561	651
463	562	649
464	563	648
465	564	646
466	565	645
467	566	643
468	567	642
469	567	640
470	568	638
471	569	637
472	570	636
473	571	634
474	572	633
475	573	631
476	574	630
477	575	628
478	576	627
479	578	626
480	579	624
481	580	623
482	581	622
483	582	620
484	583	619
485	584	617
486	585	616
487	585	614
488	586	613
489	587	611
490	588	610
491	589	609
492	590	607
493	591	605
494	592	604
495	593	602
496	594	601
497	595	600
498	596	598
499	597	597
500	597	595
501	598	593
502	599	592
503	600	590
504	601	589
505	602	588
506	603	586
507	604	585
508	604	583
509	605	581
510	606	580
511	607	579
512	608	577
513	609	576
514	610	574
515	611	573
516	612	572
517	613	570
518	614	569
519	615	567
520	616	566
521	617	565
522	618	563
523	619	562
524	620	561
525	620	559
526	621	558
527	622	556
528	623	555
529	624	553
530	625	552
531	626	550
532	627	549
533	627	547
534	628	546
535	629	545
536	630	543
537	631	542
538	632	540
539	633	539
540	634	537
541	635	536
542	635	535
543	636	533
544	638	532
545	639	531
546	639	529
547	640	528
548	641	527
549	642	525
550	643	524
551	644	523
552	645	521
553	646	520
554	647	518
555	648	517
556	649	516
557	649	514
558	651	513
559	651	512
560	652	510
561	653	509
562	654	507
563	655	506
564	656	505
565	657	503
566	658	502
567	658	501
568	659	499
569	660	498
570	661	496
571	662	495
572	663	494
573	664	493
574	665	491
575	666	490
576	666	488
577	667	487
578	668	486
579	669	485
580	670	483
581	671	482
582	672	480
583	673	479
584	674	478
585	675	476
586	676	475
587	677	474
588	677	473
589	678	471
590	679	470
591	680	468
592	681	467
593	682	466
594	683	465
595	684	463
596	684	462
597	685	461
598	686	459
599	687	458
600	688	457
601	689	455
602	690	454
603	691	453
604	692	451
605	693	450
606	694	449
607	695	448
608	696	446
609	696	445
610	697	444
611	698	442
612	699	441
613	700	440
614	701	439
615	702	437
616	703	436
617	704	435
618	705	433
619	705	432
620	706	431
621	707	430
622	708	428
623	709	427
624	710	426
625	711	425
626	712	423
